DOID:8577	D003093
DOID:8936	D000071380
DOID:0080001	D001847
DOID:11119	D005879
DOID:684	D006528
DOID:10763	D006973
DOID:3068	D005909
DOID:4450	D002292
DOID:1749	D018307
DOID:8534	D005764
DOID:9008	D015535
DOID:3908	D002289
DOID:9970	D009765
DOID:3910	D000077192
DOID:1184	D009404
DOID:37	D012873
DOID:987	D000505
DOID:3310	D003876
DOID:2508	D013625
DOID:10652	D000544
DOID:0050425	D012148
DOID:1712	D001024
DOID:9538	D009101
DOID:6132	D029481
DOID:0050830	D058729
DOID:1883	D006526
DOID:12169	D002349
DOID:6713	D002561
DOID:11714	D016640
DOID:3620	D016543
DOID:784	D007676
DOID:1849	D002189
DOID:3459	D001943
DOID:6543	D000152
DOID:3159	D010787
DOID:2055	D013313
DOID:2998	D013736
DOID:3748	D000077277
DOID:0050742	D014029
DOID:0050426	D013262
DOID:1827	D004829
DOID:824	D010518
DOID:216	D003731
DOID:418	D012595
DOID:14221	D024821
DOID:14268	D015209
DOID:8536	D006562
DOID:12236	D008105
DOID:9351	D003920
DOID:332	D000690
DOID:3963	D013964
DOID:769	D009447
DOID:9296	D002971
DOID:2986	D005922
DOID:0060224	D001281
DOID:8567	D006689
DOID:5557	C563236
DOID:2841	D001249
DOID:8893	D011565
DOID:289	D004715
DOID:0050748	D018442
DOID:5295	D007410
DOID:409	D008107
DOID:1459	D007037
DOID:7148	D001172
DOID:13189	D015210
DOID:1024	D007918
DOID:12894	D012859
DOID:13223	D007889
DOID:178	D020760
DOID:10003	D006319
DOID:4914	C562730
DOID:7147	D013167
DOID:7188	D013967
DOID:7998	D006980
DOID:9206	D001471
DOID:12217	D020961
DOID:1682	D006330
DOID:1909	D008545
DOID:9744	D003922
DOID:0060262	D005705
DOID:12365	D008288
DOID:2513	D018295
DOID:10608	D002446
DOID:9561	D009302
DOID:4362	D002583
DOID:986	D000506
DOID:5082	D008103
DOID:2876	D000077195
DOID:5408	D010001
DOID:633	D009220
DOID:10976	D015433
DOID:11612	D011085
DOID:1040	D015451
DOID:12930	D002311
DOID:10941	D002532
DOID:11476	D010024
DOID:12361	D006111
DOID:0050156	D054990
DOID:0080208	D065626
DOID:2871	D018269
DOID:10871	D008268
DOID:14018	D008104
DOID:12306	D014820
DOID:2043	D006509
DOID:13922	D057765
DOID:8923	D000096142
DOID:11934	D006258
DOID:0050745	D016403
DOID:0050589	D015212
DOID:1724	D004381
DOID:1826	D004827
DOID:13241	D001528
DOID:7693	D017544
DOID:5844	D009203
DOID:0050591	D000848
DOID:13378	D009080
DOID:4988	D019512
DOID:10892	D007021
