DOID	GeneCount
DOID:8577	585
DOID:0060224	566
DOID:4481	531
DOID:1459	528
DOID:7148	528
DOID:10763	474
DOID:5844	446
DOID:0050589	433
DOID:0050425	408
DOID:7188	407
DOID:3459	397
DOID:14221	378
DOID:8893	355
DOID:6713	342
DOID:2513	314
DOID:10871	297
DOID:12236	259
DOID:418	245
DOID:12306	240
DOID:8567	240
DOID:289	228
DOID:8398	221
DOID:6543	199
DOID:10003	195
DOID:10608	195
DOID:10873	195
DOID:13189	177
DOID:10941	172
DOID:585	166
DOID:8936	166
DOID:3310	163
DOID:4001	162
DOID:784	158
DOID:1849	156
DOID:3907	154
DOID:2055	153
DOID:1040	151
DOID:216	144
DOID:4362	142
DOID:2986	141
DOID:13223	134
DOID:14268	134
DOID:9008	133
DOID:0080001	132
DOID:633	129
DOID:1724	128
DOID:0050156	127
DOID:3910	121
DOID:2841	118
DOID:2508	115
DOID:9296	106
DOID:12361	100
DOID:7693	99
DOID:7147	97
DOID:10976	94
DOID:4905	85
DOID:9538	82
DOID:5517	80
DOID:1024	77
DOID:11476	76
DOID:2043	73
DOID:824	69
DOID:3620	67
DOID:11119	66
DOID:0050426	64
DOID:11612	64
DOID:12930	64
DOID:10211	62
DOID:10652	59
DOID:14042	59
DOID:3068	57
DOID:7998	57
DOID:1909	55
DOID:2871	55
DOID:986	55
DOID:9970	55
DOID:13241	51
DOID:769	50
DOID:3451	48
DOID:12169	47
DOID:12217	46
DOID:9952	45
DOID:1826	42
DOID:4450	42
DOID:12894	41
DOID:9206	41
DOID:11714	40
DOID:12365	39
DOID:332	38
DOID:5082	38
DOID:684	37
DOID:0050742	35
DOID:13378	35
DOID:3159	35
DOID:4988	35
DOID:1184	34
DOID:13922	34
DOID:1682	33
DOID:2876	31
DOID:1827	28
